AREA.1,AREA.2,CODE
Alameda, CA,16
Alpine, CA,1154
Amador, CA,710
Butte, CA,192
Calaveras, CA,634
Colusa, CA,898
Contra Costa, CA,27
Del Norte, CA,805
El Dorado, CA,229
Fresno, CA,34
Glenn, CA,814
Humboldt, CA,299
Imperial, CA,236
Inyo, CA,938
Kern, CA,44
Kings, CA,274
Lake, CA,499
Lassen, CA,745
Los Angeles, CA,1
Madera, CA,277
Marin, CA,174
Mariposa, CA,945
Mendocino, CA,414
Merced, CA,171
Modoc, CA,1077
Mono, CA,1008
Monterey, CA,116
Napa, CA,297
Nevada, CA,378
Orange, CA,4
Placer, CA,137
Plumas, CA,926
Riverside, CA,8
Sacramento, CA,19
San Benito, CA,556
San Bernardino, CA,9
San Diego, CA,3
San Francisco, CA,47
San Joaquin, CA,63
San Luis Obispo, CA,165
San Mateo, CA,61
Santa Barbara, CA,114
Santa Clara, CA,13
Santa Cruz, CA,170
Shasta, CA,233
Sierra, CA,1148
Siskiyou, CA,641
Solano, CA,117
Sonoma, CA,99
Stanislaus, CA,90
Sutter, CA,390
Tehama, CA,504
Trinity, CA,1024
Tulare, CA,106
Tuolumne, CA,553
Ventura, CA,45
Yolo, CA,210
Yuba, CA,467
