,AREA.1,AREA.2,CODE
0,Alameda, CA,16
1,Alpine, CA,1154
2,Amador, CA,710
3,Butte, CA,192
4,Calaveras, CA,634
5,Colusa, CA,898
6,Contra Costa, CA,27
7,Del Norte, CA,805
8,El Dorado, CA,229
9,Fresno, CA,34
10,Glenn, CA,814
11,Humboldt, CA,299
12,Imperial, CA,236
13,Inyo, CA,938
14,Kern, CA,44
15,Kings, CA,274
16,Lake, CA,499
17,Lassen, CA,745
18,Los Angeles, CA,1
19,Madera, CA,277
20,Marin, CA,174
21,Mariposa, CA,945
22,Mendocino, CA,414
23,Merced, CA,171
24,Modoc, CA,1077
25,Mono, CA,1008
26,Monterey, CA,116
27,Napa, CA,297
28,Nevada, CA,378
29,Orange, CA,4
30,Placer, CA,137
31,Plumas, CA,926
32,Riverside, CA,8
33,Sacramento, CA,19
34,San Benito, CA,556
35,San Bernardino, CA,9
36,San Diego, CA,3
37,San Francisco, CA,47
38,San Joaquin, CA,63
39,San Luis Obispo, CA,165
40,San Mateo, CA,61
41,Santa Barbara, CA,114
42,Santa Clara, CA,13
43,Santa Cruz, CA,170
44,Shasta, CA,233
45,Sierra, CA,1148
46,Siskiyou, CA,641
47,Solano, CA,117
48,Sonoma, CA,99
49,Stanislaus, CA,90
50,Sutter, CA,390
51,Tehama, CA,504
52,Trinity, CA,1024
53,Tulare, CA,106
54,Tuolumne, CA,553
55,Ventura, CA,45
56,Yolo, CA,210
57,Yuba, CA,467
