DATE,Civilian Labor Force Absolute
1/1/1948,60095
2/1/1948,60524
3/1/1948,60070
4/1/1948,60677
5/1/1948,59972
6/1/1948,60957
7/1/1948,61181
8/1/1948,60806
9/1/1948,60815
10/1/1948,60646
11/1/1948,60702
12/1/1948,61169
1/1/1949,60771
2/1/1949,61057
3/1/1949,61073
4/1/1949,61007
5/1/1949,61259
6/1/1949,60948
7/1/1949,61301
8/1/1949,61590
9/1/1949,61633
10/1/1949,62185
11/1/1949,62005
12/1/1949,61908
1/1/1950,61661
2/1/1950,61687
3/1/1950,61604
4/1/1950,62158
5/1/1950,62083
6/1/1950,62419
7/1/1950,62121
8/1/1950,62596
9/1/1950,62349
10/1/1950,62428
11/1/1950,62286
12/1/1950,62068
1/1/1951,61941
2/1/1951,61778
3/1/1951,62526
4/1/1951,61808
5/1/1951,62044
6/1/1951,61615
7/1/1951,62106
8/1/1951,61927
9/1/1951,61780
10/1/1951,62204
11/1/1951,62014
12/1/1951,62457
1/1/1952,62432
2/1/1952,62419
3/1/1952,61721
4/1/1952,61720
5/1/1952,62058
6/1/1952,62103
7/1/1952,61962
8/1/1952,61877
9/1/1952,62457
10/1/1952,61971
11/1/1952,62491
12/1/1952,62621
1/1/1953,63439
2/1/1953,63520
3/1/1953,63657
4/1/1953,63167
5/1/1953,62615
6/1/1953,63063
7/1/1953,63057
8/1/1953,62816
9/1/1953,62727
10/1/1953,62867
11/1/1953,62949
12/1/1953,62795
1/1/1954,63101
2/1/1954,63994
3/1/1954,63793
4/1/1954,63934
5/1/1954,63675
6/1/1954,63343
7/1/1954,63302
8/1/1954,63707
9/1/1954,64209
10/1/1954,63936
11/1/1954,63759
12/1/1954,63312
1/1/1955,63910
2/1/1955,63696
3/1/1955,63882
4/1/1955,64564
5/1/1955,64381
6/1/1955,64482
7/1/1955,65145
8/1/1955,65581
9/1/1955,65628
10/1/1955,65821
11/1/1955,66037
12/1/1955,66445
1/1/1956,66419
2/1/1956,66124
3/1/1956,66175
4/1/1956,66264
5/1/1956,66722
6/1/1956,66702
7/1/1956,66752
8/1/1956,66673
9/1/1956,66714
10/1/1956,66546
11/1/1956,66657
12/1/1956,66700
1/1/1957,66428
2/1/1957,66879
3/1/1957,66913
4/1/1957,66647
5/1/1957,66695
6/1/1957,67052
7/1/1957,67336
8/1/1957,66706
9/1/1957,67064
10/1/1957,67066
11/1/1957,67123
12/1/1957,67398
1/1/1958,67095
2/1/1958,67201
3/1/1958,67223
4/1/1958,67647
5/1/1958,67895
6/1/1958,67674
7/1/1958,67824
8/1/1958,68037
9/1/1958,68002
10/1/1958,68045
11/1/1958,67658
12/1/1958,67740
1/1/1959,67936
2/1/1959,67649
3/1/1959,68068
4/1/1959,68339
5/1/1959,68178
6/1/1959,68278
7/1/1959,68539
8/1/1959,68432
9/1/1959,68545
10/1/1959,68821
11/1/1959,68533
12/1/1959,68994
1/1/1960,68962
2/1/1960,68949
3/1/1960,68399
4/1/1960,69579
5/1/1960,69626
6/1/1960,69934
7/1/1960,69745
8/1/1960,69841
9/1/1960,70151
10/1/1960,69884
11/1/1960,70439
12/1/1960,70395
1/1/1961,70447
2/1/1961,70420
3/1/1961,70703
4/1/1961,70267
5/1/1961,70452
6/1/1961,70878
7/1/1961,70536
8/1/1961,70534
9/1/1961,70217
10/1/1961,70492
11/1/1961,70376
12/1/1961,70077
1/1/1962,70189
2/1/1962,70409
3/1/1962,70414
4/1/1962,70278
5/1/1962,70551
