DATE,Civilian Labor Force Participation Rate 25 to 54 years
1/1/1948,64.2
2/1/1948,64.6
3/1/1948,64.3
4/1/1948,64.8
5/1/1948,64.3
6/1/1948,65
7/1/1948,65.4
8/1/1948,65
9/1/1948,65.4
10/1/1948,65
11/1/1948,64.9
12/1/1948,65.1
1/1/1949,64.9
2/1/1949,65
3/1/1949,64.9
4/1/1949,64.9
5/1/1949,65.3
6/1/1949,65.3
7/1/1949,65.3
8/1/1949,65.4
9/1/1949,65.3
10/1/1949,65.7
11/1/1949,65.4
12/1/1949,65.2
1/1/1950,64.9
2/1/1950,64.9
3/1/1950,65.1
4/1/1950,65.5
5/1/1950,65.6
6/1/1950,66.1
7/1/1950,65.8
8/1/1950,66
9/1/1950,65.7
10/1/1950,65.9
11/1/1950,66
12/1/1950,65.7
1/1/1951,66
2/1/1951,65.8
3/1/1951,66.2
4/1/1951,65.9
5/1/1951,66.2
6/1/1951,65.6
7/1/1951,66.4
8/1/1951,66.3
9/1/1951,66.3
10/1/1951,66.7
11/1/1951,66.5
12/1/1951,66.8
1/1/1952,66.7
2/1/1952,67
3/1/1952,66.7
4/1/1952,66.5
5/1/1952,66.6
6/1/1952,66.6
7/1/1952,66.4
8/1/1952,66.3
9/1/1952,66.9
10/1/1952,66.3
11/1/1952,66.7
12/1/1952,66.8
1/1/1953,67.3
2/1/1953,67.1
3/1/1953,67.4
4/1/1953,66.9
5/1/1953,66.3
6/1/1953,66.7
7/1/1953,66.8
8/1/1953,66.5
9/1/1953,66.6
10/1/1953,66.8
11/1/1953,67.2
12/1/1953,66.9
1/1/1954,66.8
2/1/1954,67.5
3/1/1954,67.2
4/1/1954,67.3
5/1/1954,67.2
6/1/1954,67.1
7/1/1954,66.8
8/1/1954,66.8
9/1/1954,67.3
10/1/1954,67
11/1/1954,67
12/1/1954,66.8
1/1/1955,67.2
2/1/1955,67
3/1/1955,67
4/1/1955,67.5
5/1/1955,67.3
6/1/1955,67.5
7/1/1955,67.8
8/1/1955,68
9/1/1955,67.8
10/1/1955,67.9
11/1/1955,67.9
12/1/1955,68.2
1/1/1956,68.4
2/1/1956,67.9
3/1/1956,68
4/1/1956,68
5/1/1956,68.2
6/1/1956,68.2
7/1/1956,68.2
8/1/1956,68.2
9/1/1956,68.3
10/1/1956,68.1
11/1/1956,68.2
12/1/1956,68.1
1/1/1957,67.9
2/1/1957,68.3
3/1/1957,68.4
4/1/1957,68.3
5/1/1957,68.2
6/1/1957,68.4
7/1/1957,68.6
8/1/1957,68.1
9/1/1957,68.4
10/1/1957,68.5
11/1/1957,68.5
12/1/1957,68.4
1/1/1958,68.3
2/1/1958,68.2
