DATE,Civilian Labor Force Participation Rate 55 years and over
1/1/1948,43
2/1/1948,43.3
3/1/1948,43
4/1/1948,43.4
5/1/1948,43.2
6/1/1948,43.6
7/1/1948,43.5
8/1/1948,43.5
9/1/1948,43.2
10/1/1948,43.3
11/1/1948,43.2
12/1/1948,43.6
1/1/1949,43
2/1/1949,43
3/1/1949,42.7
4/1/1949,42.8
5/1/1949,42.7
6/1/1949,42.7
7/1/1949,43
8/1/1949,43.1
9/1/1949,43.6
10/1/1949,43.6
11/1/1949,43.6
12/1/1949,43.5
1/1/1950,43.2
2/1/1950,43.2
3/1/1950,43.1
4/1/1950,43.1
5/1/1950,43.3
6/1/1950,43.2
7/1/1950,43
8/1/1950,42.9
9/1/1950,42.6
10/1/1950,42.4
11/1/1950,42.7
12/1/1950,42.5
1/1/1951,42.1
2/1/1951,42.6
3/1/1951,43.4
4/1/1951,42.9
5/1/1951,42.9
6/1/1951,42.8
7/1/1951,42.6
8/1/1951,42.4
9/1/1951,42.2
10/1/1951,42.1
11/1/1951,42.2
12/1/1951,42.2
1/1/1952,42.4
2/1/1952,42
3/1/1952,41.3
4/1/1952,41.5
5/1/1952,42.1
6/1/1952,41.6
7/1/1952,42
8/1/1952,42.3
9/1/1952,43
10/1/1952,42.5
11/1/1952,43.2
12/1/1952,42.7
1/1/1953,42
2/1/1953,42.2
3/1/1953,42.7
4/1/1953,42.1
5/1/1953,41.6
6/1/1953,42.2
7/1/1953,42.4
8/1/1953,42.2
9/1/1953,41.5
10/1/1953,41.7
11/1/1953,41
12/1/1953,40.8
1/1/1954,41.3
2/1/1954,41.7
3/1/1954,41.6
4/1/1954,41.9
5/1/1954,41.6
6/1/1954,41.4
7/1/1954,41.3
8/1/1954,42
9/1/1954,42.1
10/1/1954,42.3
11/1/1954,42
12/1/1954,41.8
1/1/1955,41.6
2/1/1955,41.3
3/1/1955,41.5
4/1/1955,42
5/1/1955,41.8
6/1/1955,41.8
7/1/1955,42.2
8/1/1955,42.6
9/1/1955,42.4
10/1/1955,42.8
11/1/1955,42.8
12/1/1955,42.8
1/1/1956,43
2/1/1956,42.5
3/1/1956,43
4/1/1956,43.3
5/1/1956,43.4
6/1/1956,43
7/1/1956,43.1
8/1/1956,42.7
9/1/1956,42.8
10/1/1956,42.4
11/1/1956,42.6
12/1/1956,42.5
1/1/1957,42
2/1/1957,42.3
3/1/1957,42.4
4/1/1957,41.7
5/1/1957,41.9
6/1/1957,42.1
7/1/1957,41.8
8/1/1957,41.2
9/1/1957,41.3
10/1/1957,41.3
11/1/1957,41.2
12/1/1957,41.7
1/1/1958,41.3
2/1/1958,41.8
