DATE,Compensation of employees Supplements to wages and salaries
1/1/1947,10.125
4/1/1947,9.526
7/1/1947,8.793
10/1/1947,8.61
1/1/1948,8.74
4/1/1948,8.692
7/1/1948,8.79
10/1/1948,8.828
1/1/1949,9.525
4/1/1949,9.675
7/1/1949,9.625
10/1/1949,9.578
1/1/1950,10.133
4/1/1950,10.574
7/1/1950,11.277
10/1/1950,12.076
1/1/1951,13.233
4/1/1951,13.907
7/1/1951,14.36
10/1/1951,14.889
1/1/1952,15.091
4/1/1952,15.306
7/1/1952,15.551
10/1/1952,15.86
1/1/1953,16.054
4/1/1953,16.182
7/1/1953,16.377
10/1/1953,16.414
1/1/1954,16.711
4/1/1954,16.727
7/1/1954,16.89
10/1/1954,17.176
1/1/1955,17.839
4/1/1955,18.232
7/1/1955,18.664
10/1/1955,18.94
1/1/1956,19.546
4/1/1956,19.99
7/1/1956,20.467
10/1/1956,20.996
1/1/1957,21.956
4/1/1957,22.44
7/1/1957,22.895
10/1/1957,23.209
1/1/1958,23.043
4/1/1958,23.15
7/1/1958,23.391
10/1/1958,23.831
1/1/1959,25.735
4/1/1959,25.902
7/1/1959,26.027
10/1/1959,26.285
1/1/1960,27.986
4/1/1960,28.318
7/1/1960,28.609
10/1/1960,28.796
1/1/1961,29.323
4/1/1961,29.68
7/1/1961,30.068
10/1/1961,30.536
1/1/1962,32.206
4/1/1962,32.68
7/1/1962,33.066
10/1/1962,33.424
1/1/1963,34.692
4/1/1963,35.204
7/1/1963,35.799
10/1/1963,36.534
1/1/1964,36.953
4/1/1964,37.789
7/1/1964,38.602
10/1/1964,39.406
1/1/1965,40.116
4/1/1965,41.048
7/1/1965,42.125
10/1/1965,43.342
1/1/1966,47.346
4/1/1966,48.509
7/1/1966,49.537
10/1/1966,50.319
1/1/1967,51.166
4/1/1967,52.045
7/1/1967,53.263
10/1/1967,54.653
1/1/1968,56.662
4/1/1968,58.069
7/1/1968,59.491
10/1/1968,60.894
1/1/1969,63.698
4/1/1969,65.337
7/1/1969,67.004
10/1/1969,68.466
1/1/1970,69.855
4/1/1970,71.167
7/1/1970,72.472
10/1/1970,73.653
1/1/1971,77.388
4/1/1971,79.345
7/1/1971,81.319
10/1/1971,83.733
1/1/1972,89.882
4/1/1972,92.099
7/1/1972,93.418
10/1/1972,94.795
1/1/1973,102.059
4/1/1973,103.026
7/1/1973,104.243
10/1/1973,106.354
1/1/1974,110.153
4/1/1974,113.192
7/1/1974,117.065
10/1/1974,121.319
1/1/1975,126.46
4/1/1975,130.808
7/1/1975,134.697
10/1/1975,137.607
1/1/1976,143.497
4/1/1976,146.122
7/1/1976,149.923
10/1/1976,154.866
1/1/1977,163.236
4/1/1977,169.383
7/1/1977,174.603
10/1/1977,179.447
1/1/1978,187.066
4/1/1978,193.085
7/1/1978,198.862
10/1/1978,205.762
1/1/1979,213.951
4/1/1979,220.369
7/1/1979,227.334
10/1/1979,234.014
1/1/1980,239.817
4/1/1980,245.291
7/1/1980,251.298
10/1/1980,258.898
1/1/1981,271.949
4/1/1981,278.067
7/1/1981,284.517
10/1/1981,290.075
1/1/1982,297.125
4/1/1982,302.624
7/1/1982,308.319
10/1/1982,313.793
1/1/1983,324.758
4/1/1983,331.623
7/1/1983,338.23
10/1/1983,345.289
1/1/1984,359.84
4/1/1984,367.017
7/1/1984,374.56
10/1/1984,382.411
1/1/1985,391.365
4/1/1985,400.018
7/1/1985,409.005
10/1/1985,418.71
1/1/1986,427.572
4/1/1986,435.383
7/1/1986,443.764
10/1/1986,452.193
1/1/1987,455.105
4/1/1987,462.133
7/1/1987,469.478
10/1/1987,477.837
1/1/1988,491.377
4/1/1988,501.592
7/1/1988,512.987
10/1/1988,526.86
1/1/1989,538.254
4/1/1989,551.085
7/1/1989,562.794
10/1/1989,574.069
1/1/1990,588.33
4/1/1990,595.879
7/1/1990,603.211
10/1/1990,609.277
1/1/1991,615.804
4/1/1991,627.468
7/1/1991,641.841
10/1/1991,659.034
1/1/1992,682.814
4/1/1992,699.918
7/1/1992,711.96
10/1/1992,716.134
1/1/1993,729.632
4/1/1993,733.77
7/1/1993,740.491
10/1/1993,747.902
1/1/1994,760.672
4/1/1994,768.211
7/1/1994,773.047
10/1/1994,776.477
1/1/1995,776.339
4/1/1995,777.675
7/1/1995,780.821
