DATE,Total Unfilled Job Vacancies for the United States
12/1/2000,4736000
1/1/2001,5385000
2/1/2001,4658000
3/1/2001,4563000
4/1/2001,4901000
5/1/2001,4550000
6/1/2001,4280000
7/1/2001,4499000
8/1/2001,4134000
9/1/2001,3975000
10/1/2001,3605000
11/1/2001,3387000
12/1/2001,3385000
1/1/2002,3759000
2/1/2002,3372000
3/1/2002,3551000
4/1/2002,3472000
5/1/2002,3596000
6/1/2002,3365000
7/1/2002,3411000
8/1/2002,3490000
9/1/2002,3308000
10/1/2002,3535000
11/1/2002,3415000
12/1/2002,2943000
1/1/2003,3824000
2/1/2003,3381000
3/1/2003,3052000
4/1/2003,3340000
5/1/2003,3233000
6/1/2003,3334000
7/1/2003,3270000
8/1/2003,3283000
9/1/2003,3074000
10/1/2003,3205000
11/1/2003,3157000
12/1/2003,3214000
1/1/2004,3459000
2/1/2004,3402000
3/1/2004,3380000
4/1/2004,3629000
5/1/2004,3660000
6/1/2004,3424000
7/1/2004,3934000
8/1/2004,3619000
9/1/2004,3742000
10/1/2004,3792000
11/1/2004,3238000
12/1/2004,3650000
1/1/2005,3670000
2/1/2005,3845000
3/1/2005,3831000
4/1/2005,4243000
5/1/2005,3884000
6/1/2005,4022000
7/1/2005,4319000
8/1/2005,4073000
9/1/2005,4237000
10/1/2005,4277000
11/1/2005,4220000
12/1/2005,4064000
1/1/2006,4298000
2/1/2006,4229000
3/1/2006,4493000
4/1/2006,4680000
5/1/2006,4389000
6/1/2006,4349000
7/1/2006,4154000
8/1/2006,4560000
9/1/2006,4516000
10/1/2006,4472000
11/1/2006,4341000
12/1/2006,4278000
1/1/2007,4630000
2/1/2007,4465000
3/1/2007,4666000
4/1/2007,4824000
5/1/2007,4550000
6/1/2007,4608000
7/1/2007,4490000
8/1/2007,4555000
9/1/2007,4523000
10/1/2007,4300000
11/1/2007,4156000
12/1/2007,4123000
1/1/2008,4260000
2/1/2008,4042000
3/1/2008,4001000
4/1/2008,4098000
5/1/2008,3960000
6/1/2008,3767000
7/1/2008,3821000
8/1/2008,3665000
9/1/2008,3264000
10/1/2008,3292000
11/1/2008,2956000
12/1/2008,2830000
1/1/2009,2767000
2/1/2009,2791000
3/1/2009,2491000
4/1/2009,2357000
5/1/2009,2427000
6/1/2009,2428000
7/1/2009,2196000
8/1/2009,2306000
9/1/2009,2478000
10/1/2009,2400000
11/1/2009,2350000
12/1/2009,2407000
1/1/2010,2636000
2/1/2010,2578000
3/1/2010,2666000
4/1/2010,3220000
5/1/2010,2891000
6/1/2010,2664000
7/1/2010,2965000
8/1/2010,2920000
9/1/2010,2767000
10/1/2010,3033000
11/1/2010,2914000
12/1/2010,2857000
1/1/2011,2940000
2/1/2011,3062000
3/1/2011,3132000
4/1/2011,3286000
5/1/2011,3114000
6/1/2011,3223000
7/1/2011,3476000
8/1/2011,3176000
9/1/2011,3494000
10/1/2011,3422000
11/1/2011,3152000
12/1/2011,3372000
1/1/2012,3725000
2/1/2012,3497000
3/1/2012,3830000
4/1/2012,3641000
5/1/2012,3693000
6/1/2012,3800000
7/1/2012,3694000
8/1/2012,3684000
9/1/2012,3521000
10/1/2012,3708000
11/1/2012,3542000
12/1/2012,3570000
1/1/2013,3805000
2/1/2013,3970000
3/1/2013,3922000
4/1/2013,3935000
5/1/2013,3885000
6/1/2013,3903000
7/1/2013,3872000
8/1/2013,3914000
9/1/2013,3937000
10/1/2013,4108000
11/1/2013,3845000
12/1/2013,3782000
1/1/2014,3989000
2/1/2014,4145000
3/1/2014,4204000
4/1/2014,4538000
5/1/2014,4609000
6/1/2014,4676000
7/1/2014,4622000
8/1/2014,4945000
9/1/2014,4588000
10/1/2014,4941000
11/1/2014,4698000
12/1/2014,4819000
1/1/2015,5111000
2/1/2015,5162000
3/1/2015,5182000
4/1/2015,5599000
5/1/2015,5424000
6/1/2015,5165000
7/1/2015,5863000
8/1/2015,5365000
9/1/2015,5367000
10/1/2015,5536000
11/1/2015,5225000
12/1/2015,5396000
1/1/2016,5726000
2/1/2016,5601000
3/1/2016,5944000
4/1/2016,5892000
5/1/2016,5695000
6/1/2016,5650000
7/1/2016,5982000
8/1/2016,5515000
9/1/2016,5650000
10/1/2016,5485000
11/1/2016,5631000
12/1/2016,5490000
1/1/2017,5442000
2/1/2017,5616000
3/1/2017,5607000
4/1/2017,6101000
5/1/2017,5689000
6/1/2017,6125000
7/1/2017,6202000
8/1/2017,6044000
9/1/2017,6229000
10/1/2017,6059000
11/1/2017,5931000
12/1/2017,5669000
1/1/2018,6230000
2/1/2018,6074000
3/1/2018,6638000
4/1/2018,6840000
5/1/2018,6659000
6/1/2018,6822000
7/1/2018,7077000
8/1/2018,7293000
9/1/2018,7009000
