DATE,"Unemployment Rate College Graduates Bachelor's Degree and Higher, 25 years and over"
1/1/1992,3.2
2/1/1992,3.3
3/1/1992,2.9
4/1/1992,2.9
5/1/1992,2.9
6/1/1992,3.3
7/1/1992,3.3
8/1/1992,3.4
9/1/1992,3.4
10/1/1992,3.2
11/1/1992,3.2
12/1/1992,2.9
1/1/1993,3.3
2/1/1993,3.2
3/1/1993,3.1
4/1/1993,2.9
5/1/1993,2.7
6/1/1993,3.1
7/1/1993,3
8/1/1993,3
9/1/1993,3
10/1/1993,2.8
11/1/1993,2.6
12/1/1993,2.6
1/1/1994,3
2/1/1994,2.8
3/1/1994,2.8
4/1/1994,2.3
5/1/1994,2.3
6/1/1994,2.7
7/1/1994,2.9
8/1/1994,3.1
9/1/1994,2.7
10/1/1994,2.3
11/1/1994,2.1
12/1/1994,2
1/1/1995,2.5
2/1/1995,2.3
3/1/1995,2.5
4/1/1995,2.4
5/1/1995,2.3
6/1/1995,2.7
7/1/1995,2.7
8/1/1995,3.1
9/1/1995,2.5
10/1/1995,2.2
11/1/1995,2.1
12/1/1995,2.1
1/1/1996,2.5
2/1/1996,2.3
3/1/1996,2.2
4/1/1996,2.1
5/1/1996,2.2
6/1/1996,2.3
7/1/1996,2.5
8/1/1996,2.6
9/1/1996,2.3
10/1/1996,2
11/1/1996,2.1
12/1/1996,2
1/1/1997,2.2
2/1/1997,2.1
3/1/1997,2
4/1/1997,1.7
5/1/1997,2
6/1/1997,2.2
7/1/1997,2.3
8/1/1997,2.6
9/1/1997,2.2
10/1/1997,1.8
11/1/1997,1.6
12/1/1997,1.6
1/1/1998,2
2/1/1998,1.9
3/1/1998,1.8
4/1/1998,1.5
5/1/1998,1.6
6/1/1998,1.8
7/1/1998,1.9
8/1/1998,2.2
9/1/1998,1.7
10/1/1998,1.8
11/1/1998,1.7
12/1/1998,1.6
1/1/1999,1.9
2/1/1999,1.9
3/1/1999,1.8
4/1/1999,1.8
5/1/1999,1.7
6/1/1999,2.1
7/1/1999,2
8/1/1999,1.9
9/1/1999,1.7
10/1/1999,1.6
11/1/1999,1.6
12/1/1999,1.6
1/1/2000,1.9
2/1/2000,1.7
3/1/2000,1.6
4/1/2000,1.4
5/1/2000,1.5
6/1/2000,1.7
7/1/2000,1.9
